time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.06058341176e-06,-1.18281710004e-07,10.0096845063,6.28293874834,0.000616347160994,0.0,-8.42322036015e-05,-1.83964689602e-05,0.322781629096,-0.0139502393882,0.0254291228076,0.0,501.95141874948786,503.793022069315,502.92414233500745,501.9129679888242
0.12000000000000001,-2.20966902583e-05,-8.44267322971e-06,10.0292439095,6.28200541162,0.00201668423218,0.0,-0.000746260368111,-0.000336925117625,0.329196401495,-0.0189767275572,0.0187920520324,0.0,405.8397888832918,405.2438384538391,407.1623672316772,406.7125684580112
0.18,-0.000126533880026,-6.34997923256e-05,10.0573347598,6.28162262686,0.00411069740877,0.0,-0.00295607699809,-0.00158605546171,0.607058436885,0.0112172840224,0.0557374677466,0.0,488.71255989120954,491.4585040727492,489.28968703646234,491.5321367473454
0.23999999999999996,-0.000411913710315,-0.000191376969371,10.098900158,6.28186859201,0.00762088820591,0.0,-0.00694244630738,-0.00261740028469,0.778351506546,-0.0165731757967,0.0635267824108,0.0,459.19246391328033,459.81211733089685,460.34309615018145,458.13907410158356
0.3,-0.0010206406584,-0.000382692627047,10.1510341327,6.28118973383,0.0111548034658,0.0,-0.0137684231176,-0.0038530569839,0.959309137664,-0.00245717289016,0.0475085165742,0.0,463.5651931358873,462.3071683267005,461.5488803513337,462.6615773414227
0.36000000000000004,-0.00209038103469,-0.00065483343726,10.2117481038,6.28185021734,0.0144081452492,0.0,-0.0222047574525,-0.00518304118468,1.06439369448,0.0294532393477,0.0650742629366,0.0,439.7531723852416,441.2075723046224,437.128344977149,439.7791037299804
0.4200000000000001,-0.00370267754587,-0.000984187189953,10.2764312056,0.000701265531106,0.0187040613629,0.0,-0.0319144082806,-0.00562074275312,1.09167788367,0.041666534063,0.0821976550825,0.0,413.4437425565589,414.95375729910546,414.0144186962969,415.08803531623306
0.48000000000000015,-0.00613556371838,-0.00129030689151,10.3506576897,0.00350543215792,0.0239190933785,0.0,-0.0498381524603,-0.00423632478354,1.38221884684,0.0553191419477,0.0949874188181,0.0,494.58242270238173,495.5287461530787,494.26350831408763,495.2695888194907
0.5400000000000001,-0.00960585531263,-0.00146490148885,10.4351466788,0.00722373059203,0.0292098421887,0.0,-0.0663633313714,-0.00124763987275,1.43400127467,0.0727417745776,0.0689055739552,0.0,424.7227302806677,422.48670148203064,422.29045000924134,423.7934198067976
0.6000000000000002,-0.0141684612146,-0.00138407982012,10.5229001761,0.0117019799786,0.0330782942,0.0,-0.0861059970446,0.00436407639805,1.49102610282,0.0781803502815,0.0536860328076,0.0,425.62436711583496,424.3231331356721,425.2332353578275,425.70344667370875
0.6600000000000003,-0.0199877792322,-0.00087881840207,10.6140711772,0.0163190482862,0.0366779823925,0.0,-0.10819724924,0.0129219662783,1.5479133422,0.0743734583493,0.0703057064084,0.0,425.18193047445664,426.6059454476729,425.02015779360903,424.69877539313165
0.7200000000000003,-0.0271114166974,0.000185559616296,10.7061426941,0.0203540253202,0.0406359542899,0.0,-0.129600868333,0.022916704942,1.52115240901,0.0465684642347,0.0554539921136,0.0,398.4977713763077,397.14168430464156,398.05389757147174,395.50517410335874
0.7800000000000004,-0.0357549217384,0.00199870651275,10.8007477063,0.0229926938429,0.0444035797317,0.0,-0.158880931819,0.037800070603,1.63217180852,0.038216923556,0.0744579039881,0.0,442.65328570475117,444.2170428612291,442.73804873800077,442.05153555772284
0.8400000000000004,-0.0462586567837,0.00476897117026,10.9024584869,0.0254328367718,0.0488009731627,0.0,-0.191704969101,0.0547879667706,1.75797128581,0.0451692628412,0.0708465289727,0.0,448.5784086221814,448.28919474078276,447.1327169474269,447.69954903455266
0.9000000000000005,-0.0589091938702,0.00865669254053,11.0133997894,0.0286436137759,0.0528976070235,0.0,-0.230442863895,0.0751364207639,1.93974340401,0.0664287103926,0.062570716222,0.0,465.0753818030802,464.43005475809645,465.34405836170174,467.0068085928262
0.9600000000000005,-0.0737927490084,0.0137432722425,11.1318098357,0.0324684106545,0.0565015699624,0.0,-0.266028579869,0.0947920431788,2.00710568958,0.0577587777387,0.054518820006,0.0,431.1518024196429,430.4736840275315,430.7109766919839,429.9802382872468
1.0200000000000005,-0.0910036871625,0.0201538268498,11.2564001682,0.0361966954251,0.0593950054501,0.0,-0.307993430421,0.119272368639,2.14561551776,0.0697039809956,0.0310488527909,0.0,454.08639083161324,452.201116122935,453.09823881344477,454.0601633083334
1.0800000000000005,-0.110665229521,0.0280397980564,11.3871934766,0.0408329599889,0.0617607374131,0.0,-0.347594947729,0.144019686647,2.21399440693,0.0892227474611,0.0523899802762,0.0,431.85285083371156,433.6499487540084,430.17043447324494,431.82485814213294
1.1400000000000006,-0.132858645794,0.0375753294145,11.5237503428,0.0461415882,0.0652172769768,0.0,-0.392522260375,0.174381747179,2.33759916781,0.0869436888071,0.0664060518652,0.0,450.0180659907831,451.153325938302,448.9981919728949,448.81969019085454
1.2000000000000006,-0.15781781179,0.0490399617898,11.6676035223,0.0511992637665,0.0688980891192,0.0,-0.439840646949,0.208297927196,2.45719045285,0.0783905038534,0.0485881526868,0.0,450.1261492729594,448.6845323876912,449.2482688816052,448.55994863931164
1.2600000000000007,-0.186155167841,0.0629913992958,11.8252748548,0.0555659104276,0.0723627717791,0.0,-0.505131722723,0.257334807504,2.7976645755,0.0581418096519,0.0716280634992,0.0,513.6103769346,515.2434965340162,514.1677213788519,512.7344599667185
